"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged","usd_pledged_real","usd_goal_real"
"190385",196901108,"Focus Fly Fishing Rods","Product Design","Design","USD","9/13/2016",15000,"8/10/2016 18:41",7277,"canceled",30,"US",2025,7277,15000
"158807",180776296,"Rhode Island Pension Real Estate Probe","Journalism","Journalism","USD","2/11/2016",20000,"1/12/2016 19:43",20130,"successful",107,"US",20130,20130,20000
"39178",1199192713,"Valdis - Modern Classic Clothing Made in New York","Apparel","Fashion","USD","5/30/2015",10000,"4/30/2015 23:56",11255,"successful",67,"US",11255,11255,10000
"351430",860328566,"The Storm Theatre's 2012-2013 season needs you!","Theater","Theater","USD","9/2/2012",5000,"8/3/2012 15:46",5310,"successful",51,"US",5310,5310,5000
"339874",801161867,"Let's finish this album by The Glance!","Indie Rock","Music","USD","9/19/2013",850,"8/30/2013 20:56",975,"successful",16,"US",975,975,850
"29178",1148196333,"FUSION's Debut Album","Jazz","Music","USD","10/18/2012",2000,"8/20/2012 1:25",3757.02,"successful",52,"US",3757.02,3757.02,2000
"368803",948994364,"InfaCrates: A Monthly Subscription Service With Everything","Games","Games","USD","5/9/2015",45000,"4/9/2015 0:59",1280,"canceled",11,"US",1280,1280,45000
"261699",401030346,"The Rumpus","Art","Art","USD","5/10/2014",2500,"4/10/2014 22:24",3586,"successful",51,"US",3586,3586,2500
"348025",843054900,"Lionfish Mermaid and Friend Enamel Pin Set","Jewelry","Fashion","USD","5/14/2017",800,"4/14/2017 0:14",806,"successful",8,"US",131,806,800
"77084",1392197008,"Foreign Relations (Canceled)","Fiction","Publishing","USD","7/12/2012",5000,"6/12/2012 2:44",0,"canceled",0,"US",0,0,5000
"170773",1868765478,"Atomic Robo and the Temple of Od HARDCOVER EDITION","Graphic Novels","Comics","USD","12/2/2017",32500,"11/7/2017 19:24",51508,"successful",698,"US",26773,51508,32500
"279094",48959260,"MADSTEEZ - a short film narrative","Narrative Film","Film & Video","USD","10/7/2014",25000,"9/22/2014 4:13",25000,"successful",67,"US",25000,25000,25000
"84767",1431018460,"The Latte Lasso","Product Design","Design","USD","4/4/2014",1500,"3/5/2014 21:51",1523,"successful",45,"US",1523,1523,1500
"114987",1583998942,"Apropos of Nothing podcast needs better gear!","Radio & Podcasts","Publishing","USD","6/23/2012",500,"5/24/2012 3:51",1562,"successful",43,"US",1562,1562,500
"163826",1833619303,"HIGH COTTON","Narrative Film","Film & Video","USD","7/1/2015",24000,"5/30/2015 17:23",11211,"failed",71,"US",11211,11211,24000
"180306",191730319,"Absinthe EP","Rock","Music","USD","3/8/2013",600,"2/1/2013 3:13",156,"failed",6,"US",156,156,600
"51901",126415503,"Record Jessica Law's new full-length album, The Sum of Which","Country & Folk","Music","GBP","7/19/2017",1100,"6/19/2017 20:08",1783,"successful",56,"GB",844.82,2316.46,1429.11
"281858",503959087,"VerbQ: 14,000 verbs, a million ways to use them","Technology","Technology","USD","3/1/2015",30000,"1/30/2015 16:41",30076,"successful",85,"US",30076,30076,30000
"272657",457273958,"The Lost Forty Project","Music","Music","USD","4/8/2016",6000,"3/7/2016 17:58",7137,"undefined",0,"N,0""",NA,7137,6000
"298525",590206664,"Evin Wolverton's Debut EP, ""The Midnight Hour""","Music","Music","USD","7/21/2012",7950,"6/22/2012 21:34",9372,"successful",174,"US",9372,9372,7950
"364069",924992056,"""Trace"" - Cameraless Records of Radioactive Contamination","Conceptual Art","Art","USD","11/28/2011",5000,"10/29/2011 5:14",6621,"successful",121,"US",6621,6621,5000
"34861",1176766531,"Hand Hook","Design","Design","GBP","6/20/2017",15000,"5/21/2017 17:14",140,"failed",9,"GB",99.07,178.15,19087.13
"279431",491436726,"Apollo Fact Files - The Truth","Webseries","Film & Video","GBP","12/22/2013",5000,"11/17/2013 21:41",90,"failed",5,"GB",145.06,148.6,8255.59
"266128",423906862,"We Want it Published!","Nonfiction","Publishing","USD","5/10/2014",10000,"4/10/2014 18:59",8751,"failed",12,"US",8751,8751,10000
"345034",827589190,"The Adventures of Molar the Tooth Fairy by Sarah M. Wall","Children's Books","Publishing","EUR","5/14/2015",12500,"4/14/2015 17:19",689,"failed",6,"IE",729.97,780.5,14159.97
"98156",1498320296,"Arcane Fury Breakout Style Classic Arcade Game","Mobile Games","Games","EUR","5/12/2017",500,"4/12/2017 21:19",31,"failed",3,"ES",26.46,33.72,543.8
"33822",1171770413,"Magic Milwaukee","Performance Art","Art","USD","12/14/2012",10000,"10/15/2012 18:27",1,"failed",1,"US",1,1,10000
"12780",1064172663,"Carnival Funfair 2013 Calendar","Graphic Design","Design","USD","11/16/2012",3500,"10/17/2012 22:41",56,"failed",4,"US",56,56,3500
"376270",987857282,"The Distributed Urban Farm Initiative (DUFi)","Food","Food","USD","12/9/2012",15000,"11/9/2012 21:35",2933,"failed",47,"US",2933,2933,15000
"46408",1236079785,"Fantasy Digital Painting","Digital Art","Art","USD","11/26/2014",100,"11/11/2014 22:20",48,"failed",3,"US",48,48,100
"105185",1534643777,"Trunkful (Feature Length Film)","Thrillers","Film & Video","USD","12/30/2017",5000,"11/30/2017 20:39",5635,"successful",45,"US",270,5635,5000
"88832",1451505075,"Dynamite Kid Documentary","Documentary","Film & Video","USD","11/9/2012",15000,"10/10/2012 2:17",17721.75,"successful",336,"US",17721.75,17721.75,15000
"256570",374783016,""" Fighting For Your Life ""","Documentary","Film & Video","USD","7/23/2012",170000,"6/8/2012 23:14",886,"failed",13,"US",886,886,170000
"336529",784025318,"The Thing About Being Alive","Illustration","Art","CAD","12/6/2015",2000,"11/6/2015 18:04",3283,"successful",45,"CA",2497.87,2402.66,1463.7
"293117",561970491,"Lexington Field's 2012 Midwest Missile Tour","Music","Music","USD","7/5/2012",2500,"6/5/2012 3:00",2545,"successful",46,"US",2545,2545,2500
"155190",1789305510,"photoJeNic NW Art Leasing","Nature","Photography","USD","7/26/2014",10000,"6/26/2014 21:47",0,"failed",0,"US",0,0,10000
"363559",922417514,"gStick: The Mouse You Hold Like a Pen, for PC's and Macs.","Hardware","Technology","USD","8/21/2013",40000,"8/5/2013 22:31",130463.12,"successful",3948,"US",130463.12,130463.12,40000
"54931",1279511139,"Monica Moser's EP ""Human Heart""","Music","Music","USD","12/8/2013",1000,"11/8/2013 0:52",1220,"successful",32,"US",1220,1220,1000
"21917",1110987114,"Puppet, a Science Fiction Novel","Fiction","Publishing","USD","11/27/2015",7362,"10/28/2015 22:02",111,"failed",3,"US",111,111,7362
"201501",2026206177,"L.O.R.D Playing Cards (Canceled)","Tabletop Games","Games","AUD","5/2/2014",12000,"4/2/2014 6:33",312,"canceled",17,"AU",289.6,288.89,11111.11
"122068",1620005510,"LPLC - Low Power, Low Cost PIC18 Development Board","Hardware","Technology","GBP","5/5/2014",1100,"3/21/2014 22:18",4225,"successful",191,"GB",6987.41,7124.43,1854.88
"345064",827753153,"The Drifter Sisters are Recording a Debut Album!","Country & Folk","Music","USD","2/3/2013",2000,"12/5/2012 9:04",2373,"successful",42,"US",2373,2373,2000
"211760",2079387623,"Children's Books for the Soul","Children's Books","Publishing","USD","5/17/2015",10000,"4/17/2015 20:11",0,"failed",0,"US",0,0,10000
"6888",1034989667,"Underneath - Short Film","Shorts","Film & Video","USD","4/27/2017",7500,"3/30/2017 3:14",7859,"successful",45,"US",0,7859,7500
"115744",1587685917,"Where You Are - Recording Project","Music","Music","USD","2/12/2017",16000,"1/13/2017 6:30",16031,"successful",190,"US",1299,16031,16000
"62887",1319738205,"Fokus Wheel - See the Bigger Picture","Graphic Design","Design","GBP","12/17/2014",5500,"11/17/2014 19:36",600,"failed",23,"GB",940.1,938.88,8606.39
"77189",1392683398,"Giorgia goes to USA","Plays","Theater","EUR","5/9/2017",2500,"4/19/2017 15:54",200,"failed",7,"IT",26.62,217.52,2718.99
"179393",1912611123,"Conducting Hope","Documentary","Film & Video","USD","3/13/2011",3000,"1/27/2011 22:10",3276,"successful",66,"US",3276,3276,3000
"72877",1371062026,"Easy Pour for plants or trees!","Technology","Technology","USD","1/6/2018",150,"12/6/2017 17:54",105,"live",2,"US",0,105,150
"353721",871831012,"Positive Change Memorial Courtyard","Public Art","Art","USD","12/14/2012",20000,"11/14/2012 21:26",21956,"successful",89,"US",21956,21956,20000
"167741",185330855,"GALACTIC PYRAMID & A COSMIC CHICKEN COOP","Food","Food","USD","1/1/2013",1550,"12/11/2012 5:35",1582,"successful",31,"US",1582,1582,1550
"372477",968166384,"Modern Map Art Prints","Graphic Design","Design","GBP","9/23/2017",250,"8/24/2017 1:17",94711,"successful",1942,"GB",9018.04,126807.16,334.72
"342803",816344529,"MODz: Modular Mutant Miniatures - a Wasteman figure range","Tabletop Games","Games","GBP","7/3/2016",500,"6/25/2016 11:05",2770,"successful",58,"GB",3899.16,3597.22,649.32
"16207",1082046201,"TIMELESS WOOD - BALANCING NATURE WITH CLASS","Product Design","Design","USD","8/16/2017",10000,"7/12/2017 15:51",3850,"canceled",38,"US",574,3850,10000
"84746",1430922976,"ABECEDARIAN","Animation","Film & Video","USD","9/30/2010",3500,"7/28/2010 17:45",3580,"successful",55,"US",3580,3580,3500
"268035",433784193,"Wooden Roses for Mothers Day","Woodworking","Crafts","AUD","2/16/2017",35000,"1/17/2017 19:50",465,"failed",8,"AU",153.27,356.49,26832.26
"328229",742032559,"Corsetry by Angela Friedman: The Versailles Collection","Fashion","Fashion","USD","12/5/2011",5000,"10/30/2011 21:04",9500,"successful",74,"US",9500,9500,5000
"16899",1085681312,"The Kohlman Files pilot episode","Webseries","Film & Video","USD","4/8/2012",2500,"3/9/2012 4:30",2505,"successful",33,"US",2505,2505,2500
"12034",1060328659,"Just S.T.A.R.T Girl Power because of GOD'S Power","Nonfiction","Publishing","USD","8/27/2016",5000,"7/28/2016 18:28",53,"failed",4,"US",0,53,5000
"98368",1499280789,"Shores of Anaverde Card Set","Playing Cards","Games","USD","4/6/2017",240,"3/7/2017 23:36",1617,"successful",47,"US",634,1617,240
"283795",513865511,"Jorden - Examensfilm - ES12, Stillerska Filmgymnasiet","Film & Video","Film & Video","SEK","1/10/2015",5000,"12/11/2014 18:33",0,"failed",0,"SE",0,0,615.82
"200251",2019791484,"Bringing the Fire to Riverdragon Ceramics!","Ceramics","Art","USD","9/4/2012",3888,"8/17/2012 14:01",5225,"successful",98,"US",5225,5225,3888
"29928",1152141996,"Funding a Film Called ""Laundry""","Drama","Film & Video","USD","5/9/2017",750,"4/9/2017 19:24",930,"successful",15,"US",750,930,750
"291178",551672980,"Sail Away - First title in Stillpoint/Memory memoir series","Nonfiction","Publishing","USD","5/31/2012",1500,"5/1/2012 23:16",1905,"successful",34,"US",1905,1905,1500
"219354",2117285191,"Random Shores - T-shirts of Hope and Encouragement","Apparel","Fashion","USD","10/15/2017",8000,"9/15/2017 1:43",8630,"successful",35,"US",200,8630,8000
"302693",61131246,"Dino Land - Come Play & Eat With Dinosaurs!","Restaurants","Food","USD","7/24/2015",50000,"6/24/2015 18:06",25,"failed",1,"US",25,25,50000
"195547",1995837361,"Help Keeping T-Shirts From Being Outsourced and Affordable","Printing","Crafts","USD","9/16/2015",2500,"8/24/2015 17:07",12,"failed",1,"US",12,12,2500
"24632",1125009191,"ESSAKANE: The Most Remote Music Festival in the World $20DVD","Documentary","Film & Video","USD","11/18/2010",20000,"10/19/2010 22:41",20489,"successful",163,"US",20489,20489,20000
"37297",1189254155,"RoboRun","Mobile Games","Games","CAD","7/10/2015",200,"6/10/2015 18:48",93,"failed",12,"CA",74.95,73.19,157.41
"137558",1698552510,"Mackjoffatt","Hip-Hop","Music","CAD","12/4/2016",7000,"10/5/2016 2:06",10176,"successful",172,"CA",2361.74,7722.55,5312.29
"232517",251772115,"The Rules of a Gentleman : A2 Screen Prints","Graphic Design","Design","GBP","10/4/2013",1000,"9/4/2013 15:28",408,"failed",21,"GB",634.35,654.85,1605.03
"52500",1267096020,"""The Soul Eater"" ","World Music","Music","USD","3/1/2011",3000,"12/6/2010 18:05",305,"failed",12,"US",305,305,3000
"20803",1105480028,"LumiPocket LT: More than a 3D Printer, a Personal Fabricator","3D Printing","Technology","EUR","10/8/2015",39000,"8/24/2015 10:40",61328,"successful",134,"IT",69836.61,69680.62,44311.64
"21751",11100905,"ZMALL ART --- A mall of Art","Art","Art","EUR","1/23/2017",21328,"12/14/2016 15:48",170,"failed",4,"ES",116.99,181.58,22780.48
"252521",354395307,"Lesser Gonzalez Alvarez One-Man Show","Mixed Media","Art","USD","9/22/2011",1400,"8/23/2011 5:32",660,"failed",17,"US",660,660,1400
"185380",1943885055,"The Smokeless Fire (Canceled)","Shorts","Film & Video","USD","4/13/2013",3000,"3/9/2013 5:25",100,"canceled",1,"US",100,100,3000
"375551",983969323,"Gramophone Music App for IOS","Music","Music","GBP","2/8/2015",7000,"1/9/2015 20:25",15,"failed",6,"GB",22.64,23.07,10764.43
"65219",1331747886,"UofM Night of Fights - 2016","Theater","Theater","USD","3/1/2016",500,"2/9/2016 18:31",720,"successful",9,"US",720,720,500
"95618",1485924277,"Binghamton showzonk dunk dup (Canceled)","Music","Music","USD","11/7/2011",500,"10/13/2011 20:22",100,"canceled",4,"US",100,100,500
"262573",40559153,"All Things Cryptocurrency","Radio & Podcasts","Publishing","GBP","11/9/2017",2e+05,"10/10/2017 7:47",51,"failed",2,"GB",0,67.26,263754.81
"317717",68831732,"BREAKING THE LIGHT III","Fine Art","Photography","USD","12/5/2015",25000,"11/5/2015 19:06",0,"failed",0,"US",0,0,25000
"122199",1620625700,"The legacy of the space Shuttle Technical T-Shirt","Fashion","Fashion","USD","6/10/2012",5000,"5/11/2012 7:50",381,"failed",14,"US",381,381,5000
"258261",383081185,"Cool-Cabanas: The World's Best Sun Shelter.","Product Design","Design","AUD","3/18/2014",4450,"2/18/2014 5:02",11470,"successful",100,"AU",10361.06,10398.91,4034.45
"348196",843901449,"Scalio's Big Tip : a USC Student Short Film (Grandmothers Included)","Shorts","Film & Video","USD","8/27/2010",1200,"7/24/2010 23:05",1246,"successful",26,"US",1246,1246,1200
"239552",28818247,"The Compendium of Wild Beasts 5E","Tabletop Games","Games","USD","9/25/2017",5000,"8/26/2017 16:43",8200,"successful",179,"US",3420,8200,5000
"241630",29893510,"The Glassworker: An Animated Film Directed by Usman Riaz","Animation","Film & Video","USD","4/3/2016",50000,"2/3/2016 19:40",116000.3,"successful",1053,"US",116000.3,116000.3,50000
"277798",48347156,"Software connecting students and teachers through Maths","Software","Technology","EUR","10/5/2015",30000,"8/26/2015 17:29",20,"failed",2,"IE",23.07,22.72,34085.87
"339091",79723881,"Connie Lim's ""A Better Part of Me"" Project","Pop","Music","USD","11/10/2012",13000,"10/11/2012 23:08",13836,"successful",184,"US",13836,13836,13000
"99582",150560902,"Waiting For Him: Trident Security Series Book 3 - Audio Book","Fiction","Publishing","USD","8/15/2017",1000,"8/6/2017 15:46",0,"failed",0,"US",0,0,1000
"296983",581945078,"The Robotic Age: Mars","Tabletop Games","Games","USD","11/20/2014",4500,"10/21/2014 21:21",3217,"failed",57,"US",3217,3217,4500
"104333",1530334073,"Vanagard","Tabletop Games","Games","CAD","9/14/2017",12700,"8/15/2017 12:16",15167,"successful",297,"CA",1519.33,12496.5,10463.87
"170514",1867507711,"Items From India","Art","Art","USD","1/2/2016",2500,"12/12/2015 0:38",252,"failed",6,"US",252,252,2500
"363102",920158269,"*CANCELLED* GOD IS LOVE IN THE MIDST OF... (Canceled)","Publishing","Publishing","USD","11/30/2014",300,"10/31/2014 2:01",0,"canceled",0,"US",0,0,300
"15814",1080030489,"Jak and Poi: a new twist on Rock, Paper, Scissors","Video Games","Games","USD","12/26/2011",12500,"11/11/2011 9:51",15712.55,"successful",202,"US",15712.55,15712.55,12500
"77774",139558142,"Clockwork Purple Volume 1 - A Collection Of Short Stories","Fiction","Publishing","USD","7/13/2017",1250,"6/15/2017 6:51",392,"failed",8,"US",0,392,1250
"65524",1333283059,"Fried Rice","Food","Food","USD","8/7/2014",50,"7/8/2014 21:28",41,"failed",3,"US",41,41,50
"280000",494366049,"Handbag handcrafted from luxury French and German leather.","Accessories","Fashion","USD","12/23/2015",9000,"11/21/2015 20:08",9560.5,"successful",92,"US",9560.5,9560.5,9000
"189008",1961753039,"The Memory Righter Audio","Science Fiction","Film & Video","USD","7/31/2015",15000,"7/16/2015 23:02",0,"failed",0,"US",0,0,15000
"314195",670231205,"Studio M (Canceled)","Photography","Photography","USD","3/4/2016",1300,"2/18/2016 23:33",100,"canceled",1,"US",100,100,1300
"106910",1543376295,"False Vengeance: Take Two","Publishing","Publishing","USD","7/7/2013",17600,"5/8/2013 17:06",17698,"successful",64,"US",17698,17698,17600
"61657",1313519783,"Obsidian Wolf","Fiction","Publishing","USD","7/4/2012",1772,"6/4/2012 20:30",20,"failed",1,"US",20,20,1772
"247753",330088557,"""Jangle"" Album Recording Project","Country & Folk","Music","USD","10/22/2017",7500,"9/25/2017 2:25",515,"failed",10,"US",0,515,7500
"242705",3043863,"Jace McCoy Summer Tour","Country & Folk","Music","USD","6/8/2015",3000,"5/9/2015 4:42",100,"failed",2,"US",100,100,3000
"104471",1530958488,"Custom Designed and Painted Floor Cloths","Painting","Art","USD","8/28/2015",4500,"8/12/2015 3:08",199,"failed",2,"US",199,199,4500
"93739",1476476434,"Simple Serial LED Display","Hardware","Technology","USD","8/8/2013",20000,"7/9/2013 16:44",1326,"failed",29,"US",1326,1326,20000
"370810",959426892,"Brian Keene's THE CAGE - A Practical F/X Sci-Fi/Horror movie","Narrative Film","Film & Video","USD","10/31/2013",85000,"10/1/2013 17:54",15510.66,"canceled",259,"US",15510.66,15510.66,85000
"51948",1264375574,"Underground Lasers 2: 28mm miniature tabletop Terrain","Tabletop Games","Games","USD","3/1/2014",2000,"1/30/2014 22:00",14282,"successful",132,"US",14282,14282,2000
"131121",1665617177,"Vex","Video Games","Games","GBP","2/7/2016",300,"1/8/2016 19:20",319.42,"successful",20,"GB",467.3,463.3,435.13
"97262",1493951980,"The GeekERIE presents 24 Hour Comics Day in Erie, PA 2013","Comics","Comics","USD","10/3/2013",300,"9/23/2013 18:34",555,"successful",15,"US",555,555,300
"1803",1009216959,"Happy's Tech Lab","Video Games","Games","USD","4/6/2016",2000,"3/7/2016 0:29",660,"failed",18,"US",660,660,2000
"83233",1423294845,"Custom Minecraft Plush Toys (Canceled)","Crafts","Crafts","CAD","3/7/2015",1000,"2/5/2015 2:15",124,"canceled",4,"CA",98.23,97.38,785.3
"51940",1264312507,"Before I die I want to... goes digital","Software","Technology","USD","8/5/2010",12000,"6/4/2010 23:24",1746,"failed",47,"US",1746,1746,12000
"151684",1770615686,"Shades of Grey, Our Debut Album","Indie Rock","Music","USD","10/1/2017",1000,"9/1/2017 14:07",1124,"successful",26,"US",0,1124,1000
"228058",229568738,"Supernova Sweep-Up","Video Games","Games","USD","8/2/2012",6000,"7/3/2012 21:06",192,"failed",7,"US",192,192,6000
"282416",506924856,"""Roots Into The See"" by The Atomic Bomb Audition","Music","Music","USD","10/19/2010",1500,"9/10/2010 2:00",1595.99,"successful",34,"US",1595.99,1595.99,1500
"228947",233937693,"Premiere Recording of Randall Thompson's Requiem","Classical Music","Music","USD","1/30/2014",1500,"1/15/2014 19:28",4560,"successful",68,"US",4560,4560,1500
"6456",1032993842,"FILE 13","Narrative Film","Film & Video","USD","10/22/2011",3000,"9/22/2011 6:09",4131,"successful",47,"US",4131,4131,3000
"219005",2115410971,"Just want to make some good Mac & Cheese","Food","Food","USD","8/13/2014",10,"7/14/2014 15:45",4,"failed",3,"US",4,4,10
"188474",1959135839,"Fremde - der Film","Film & Video","Film & Video","EUR","11/18/2015",3000,"10/20/2015 18:14",3352,"undefined",0,"N,0""",NA,3582.61,3206.4
"265472",420481471,"Disneyland 60 - Diamond Anniversary Yearbook","Art Books","Publishing","USD","6/24/2015",25000,"5/25/2015 5:14",55,"failed",1,"US",55,55,25000
"75367",1383918400,"Ultimate Wooden Solitaire Game Board","Tabletop Games","Games","USD","11/30/2017",2200,"10/31/2017 16:01",1048,"failed",8,"US",0,1048,2200
"160405",1815854360,"A grid-based collectable card game called Kassen:CCG","Playing Cards","Games","USD","12/21/2017",10000,"11/21/2017 5:37",110,"failed",2,"US",85,110,10000
"126722",1643220719,"ONCE UPON A CHRISTMAS NIGHT - Short Film","Shorts","Film & Video","USD","9/11/2013",8000,"8/20/2013 20:05",1900,"failed",12,"US",1900,1900,8000
"259714",39066048,"Monkey Stew...an homage to Miles Davis and Frank Zappa","Jazz","Music","EUR","11/7/2015",12600,"9/22/2015 16:06",100,"failed",4,"IT",113.11,107.64,13562.68
"207448",205719652,"Pure Delight (Canceled)","Conceptual Art","Art","USD","7/25/2011",10000,"6/26/2011 0:13",160,"canceled",3,"US",160,160,10000
"265275",419403534,"Miniature Animation Desk/Stylus Holder","Animation","Film & Video","USD","9/24/2017",700,"8/25/2017 19:11",2367,"successful",68,"US",1226,2367,700
"206230",2050710523,"The Frost Papers: Ten Games to Play in the Dark","Tabletop Games","Games","USD","10/25/2016",1000,"10/3/2016 14:34",5302,"successful",319,"US",360,5302,1000
"120425",1611661728,"Jonah and the Crab","Shorts","Film & Video","USD","5/21/2012",400,"3/29/2012 5:28",1570,"successful",26,"US",1570,1570,400
"133944",1679719067,"Artist Keane","Digital Art","Art","USD","8/29/2015",2000,"7/30/2015 23:25",25,"failed",1,"US",25,25,2000
"58177",1296005887,"""Freedom House Street Saviors""","Documentary","Film & Video","USD","9/11/2011",10000,"7/28/2011 3:25",525,"failed",2,"US",525,525,10000
"236126",270361260,"Krynea Battlefield - The card game of tactics and fantasy","Tabletop Games","Games","USD","6/11/2014",30000,"5/12/2014 19:26",3175,"canceled",89,"US",3175,3175,30000
"354077",873838681,"Publishing ""The Clouds of Life""","Fiction","Publishing","USD","12/28/2013",2500,"11/28/2013 2:58",0,"failed",0,"US",0,0,2500
"49806",125380255,"A Woman's Work: Striking a Balance","Documentary","Film & Video","USD","8/31/2013",30000,"7/27/2013 13:41",0,"failed",0,"US",0,0,30000
"364267",925940060,"GAS  -  A hilarious new twist on the old side scroller.","Video Games","Games","CAD","8/14/2014",10000,"7/15/2014 0:31",115,"failed",5,"CA",107.14,105.5,9174.31
"230810",243304221,"Kingmakers' Indianapolis Board Game Library","Tabletop Games","Games","USD","2/1/2017",1500,"12/29/2016 4:03",3606,"successful",73,"US",123,3606,1500
"6703",1034140194,"Tickets to an Event","Public Art","Art","USD","6/21/2013",1500,"5/27/2013 23:45",1520,"successful",53,"US",1520,1520,1500
"175363",1891908587,"The Hot 8 Brass Band Documentary","Documentary","Film & Video","USD","4/12/2013",14840,"3/13/2013 0:53",2179,"failed",50,"US",2179,2179,14840
"202924",2033310238,"Pull Over Pouch","Design","Design","USD","8/12/2016",50000,"7/13/2016 16:11",137,"failed",12,"US",60,137,50000
"74300",1378645848,"The Popcorn Ball. Color Vote 2.0","Product Design","Design","USD","9/11/2017",9995,"7/31/2017 17:53",12723,"successful",514,"US",702,12723,9995
"195160",199377290,"The Summer Soundtrack First USA Tour","Rock","Music","USD","12/3/2010",1000,"11/3/2010 21:41",50,"failed",2,"US",50,50,1000
"140397",1712851650,"Three Daughters family run cold climate vineyard","Farms","Food","USD","8/28/2014",35000,"7/29/2014 20:40",10,"failed",1,"US",10,10,35000
"149819",1761375553,"Coaxifi Whole-Home Wi-Fi over Coax","Technology","Technology","USD","7/7/2017",103048,"5/23/2017 0:18",1890,"canceled",17,"US",0,1890,103048
"229392",236297125,"Personalized Power - Multiple Device Battery Pack (Canceled)","Product Design","Design","USD","1/21/2014",45000,"11/22/2013 3:18",672,"canceled",4,"US",672,672,45000
"271746",452646638,"Melting hearts","Art","Art","USD","1/27/2016",28000,"12/30/2015 0:12",110,"failed",8,"US",110,110,28000
"134274",1681475561,"Hyzers Disc Golf Apparel, Gear, & Accessories - High Demand","Fashion","Fashion","USD","2/1/2014",6800,"1/2/2014 13:42",10,"failed",1,"US",10,10,6800
"206837",2053796562,"Hair Replacement Project For Cancer & Alopecia Patients","Ready-to-wear","Fashion","USD","1/17/2015",20000,"12/18/2014 14:21",10,"failed",1,"US",10,10,20000
"285296",521388535,"Lucas Frank Designer Boyswear brand.  Instore and online.","Childrenswear","Fashion","GBP","12/25/2015",20000,"11/25/2015 18:00",800,"failed",8,"GB",1210.75,1186.68,29666.99
"7006",1035624715,"""I know why there was water on Mars. Do you?"" Trailer","Fiction","Publishing","USD","12/5/2013",12555,"11/12/2013 1:39",1301,"failed",20,"US",1301,1301,12555
"179100",1911192416,"#AlbumjusteFrancois","Music","Music","EUR","1/4/2017",9998,"12/6/2016 1:35",138,"failed",9,"FR",5.27,146.13,10586.84
"142247",1722810817,"The Joy of Dog:  Book We're Writing and Publishing","Nonfiction","Publishing","USD","9/11/2014",1500,"8/9/2014 23:50",1505,"successful",22,"US",1505,1505,1500
"276891",478685431,"Artbook by Otto Schmidt","Art Books","Publishing","USD","2/20/2014",1000,"1/6/2014 19:42",82811.9,"successful",1112,"US",82811.9,82811.9,1000
"248644",334543876,"Shrunk V: The Final Episode","Film & Video","Film & Video","USD","8/28/2012",250,"8/3/2012 21:04",75,"failed",3,"US",75,75,250
"154966",1788048292,"COOL Small Pokemon Pen Drawings","Illustration","Art","GBP","3/1/2017",100,"1/30/2017 19:03",31,"failed",3,"GB",0,37.93,122.34
"42680",1217255393,"Let us ACT!!","Performance Art","Art","USD","11/15/2013",5678,"10/16/2013 17:43",0,"failed",0,"US",0,0,5678
"317732",688374827,"It's Morphin Time","Documentary","Film & Video","USD","4/11/2015",1500,"3/12/2015 21:20",0,"failed",0,"US",0,0,1500
"271229",449961010,"DEEP CLEAN - a supernatural horror short film","Film & Video","Film & Video","GBP","7/13/2017",25000,"6/20/2017 13:04",28388,"successful",273,"GB",5393.02,36830.7,32435.1
"179935",1915308658,"Lgbtiplus Card","Design","Design","EUR","7/21/2017",3586,"6/21/2017 21:35",51,"failed",4,"IE",32.35,59.37,4174.82
"263357",40931669,"Jakes & Frequent Flyers Comic Collection","Webcomics","Comics","USD","5/6/2016",2500,"4/15/2016 1:27",2936,"successful",58,"US",2936,2936,2500
"16057",1081233492,"Kickstart Port St. Lucie's First Cajun Food Truck","Food","Food","USD","5/21/2011",80000,"2/19/2011 3:07",35,"failed",2,"US",35,35,80000
"136976",1695586795,"Leah Chase TV Documentary Film","Documentary","Film & Video","USD","1/5/2015",15000,"11/6/2014 22:39",15293,"successful",71,"US",15293,15293,15000
"19108",1096845643,"Whimsical + humorous = Whimsimor™- Does that make you smile?","Graphic Design","Design","USD","9/22/2012",1000,"8/23/2012 22:01",1600,"successful",22,"US",1600,1600,1000
"242422",302904401,"Jordan Eastman Music Video with Sunup Productions!","Film & Video","Film & Video","USD","3/2/2014",5000,"1/31/2014 2:16",250,"failed",4,"US",250,250,5000
"203668",2037259113,"Food Forward Trailer:  Biodynamics w/ Chef David Kinch of Manresa and Love Apple Farm","Food","Food","USD","3/31/2010",5000,"2/18/2010 23:01",5674.5,"successful",81,"US",5674.5,5674.5,5000
"156608",1796627463,"The All-In-One Ski Suit by Red7SkiWear","Apparel","Fashion","GBP","10/7/2016",55000,"9/5/2016 8:30",28999,"canceled",169,"GB",3618.86,35754,67811.66
"278048",484730026,"Complete Career Change Program™","Nonfiction","Publishing","USD","9/18/2014",5000,"8/19/2014 13:08",5865,"successful",43,"US",5865,5865,5000
"95634",1486021888,"Tabletop Gaming Maps Print On Demand! Starting at just $10!","Tabletop Games","Games","USD","5/16/2017",5000,"4/21/2017 21:15",3877,"canceled",114,"US",1828,3877,5000
"139601",1709098977,"The Wasp-Man YouTube Webseries","Webseries","Film & Video","USD","4/27/2017",720,"4/1/2017 12:13",1,"failed",1,"US",0,1,720
